Role,Skills
Azure ADF Developer,"Azure Fundamentals, ADF, SQL, ETL"
Azure Data Bricks Developer,"Big data processing, Spark, Python, Scala, R"
Azure Data Engineer,"Azure data factory, Azure Data Bricks, PowerBI analytics, Synapse Analytics, blob storage"
Azure Data Modeler,"Sufficient experience using database systems, Conceptual, logical & Physical Design, Abstract Thinking, Adapt to new modeling methods, Familiarity with modeling tools, Exemplary communication skills, Experience in creating modeling solutions using relational, dimensional, NoSQL databases, SQL"
Solution Architect - Digital,"Azure, AWS, GCP"
Solution Architect - Data,"Understanding of Data Warehouse architecture and different models used, Understanding of Data Quality, Metadata management, governance of data,  Understanding of all aspects of enterprise warehouse - from ingestion to consumption, Understanding of data and infra security"
AWS Data Engineer ,"Python, AWS Glue, Spark, EMR, RDS, Redshift"
AWS Glue Studio Developer,"Glue Studio, RDS, Redshift"
GCP Data Engineer,"GCP Fundamentals, Dataflow, Bigquery, Airflow, Dataproc"
Hydrograph Developer,"DW Concepts, ETL tool, Talend Big Data, ABI, SQL"
Ab Initio Developer,"AB-INITIO, UNIX, Shell, SQL"
Core Java Developer,"Core Java, OOP concepts"
Talend Developer,"Unix, Shell, SQL, Talend"
Kafka Developer,Kafka
Machine Learning Developer,"Statistics, Basic of linear algebra,  Machine Learning, python, java, R, SQL"
Informatica - IICS Developer,"Informatica Power Center, Informatica Cloud services, Unix, SQL"
DevOps Engineer,"Jenkins, Unix"
SSIS Developer,"SSIS, SQL"
PL SQL / T SQL Developer,"PL SQL, T SQL"
ETL Tester,"Testing Concepts, SQL, DQ concepts, ETL Testing, UNIX, Shell scripting, Cloud Computing"
Informatica - Power Center Developer,"Informatica Power Center, Unix, SQL"
iOS Developer,"Swift, Xcode IDE, Grand Central Dispatch, Core Data"
Scala - Beginner,Functional Programming Principles in Scala
Scala- Advanced,Functional Program Design in Scala
Informatica Admin,"Informatica Power Center Administration, Unix, Shell scripting"
PowerBI Developer,"SQL, UNIX Scripting, PowerBI, Cloud Fundamentals"
Tableau Developer,"SQL, UNIX Scripting, Tableau, Cloud Fundamentals"
Qlikview Developer,"Qlikview, QlickSense"
AWS Quick Sight Developer,"SQL, UNIX Scripting,AWS Quick Sight, Cloud Fundamentals"
Looker Developer,"SQL, UNIX Scripting, Looker Cloud Fundamentals"
Oracle DBA,"Database backup/restore Using RMAN, RAC cluster, Import/Export of data, Security, Database patching, Automatic storage management, Installation & configuration of Oracle instance using windows/Linux, Performance tuning, Regular database housekeeping and trouble shooting"
UI Developer - Angular,"NPM, HTML & CSS, Angular CLI, Angular, TypeScript"
UI Developer - React,"NPM, HTML & CSS, Redux, JavaScript Fundamentals + ES6, JSX"
.Net Developer,"ASP.Net, MVC , SQL server,Java script and Jquery, MVC.NET, Web API, TSQL/PLSQL, jQuery, HTML, CSS."
.NET Fullstack Developer,"HTML & CSS, jQuery, Angular, React, Web API, TSQL/PLSQL"
Sharepoint Developer,"SPFX, Share Point 2021, MS Power Point, MS Power Automate, Jquery"
SharePoint Administrator,"SharePoint installation, architectire, configuration, backup & restore, upgrade & migrate, monitoring & optimization"
Android Developer,"Core Java, Android Studio, XML, Android SDK, Material Design"
APIGEE Developer,"APIGEE Edge, Core Java"
Hybrid Mobile Developer,"React Native, JavaScript + ES6 , JSX, Virtual DOM, Redux "
Google Analytics GTM Developer,"Basic CSS, JavaScript, HTML, SQL"
UI/UX Developer,"Sketch, Photoshop, Illustrator, Creating user flows, wireframes, prototypes and mockups, Creating user flows, wireframes, prototypes and mockups, Information architecture"
Automation Tester,"Selinium/TestNG, Core Java, Mockito, REST Assured, Cucumber, Groovy"
Web/Mobile  Manual Tester,"UI Testing, Usablity and Performance Testing (JMeter), Security Testing"
API Tester,"SOAP UI, Postman"
Software Development Engineer in Test (SDET),"Core Java, Selinium/ Node JS, API and UI testing"
Pyspark Developer,pyspark
Java backend with Microservices,Microservices
Android Developer,"Aptitude,reasoning,Data Structure,Algorithm,Basics of Kotlin/Java & Android,"
